CHEVROLET CHEVELLE MALIBU;18.00;8;307.00;130.00;3504.00;12.00;70;US
BUICK SKYLARK 320;15.00;8;350.00;165.00;3693.00;11.50;70;US
PLYMOUTH SATELLITE;18.00;8;318.00;150.00;3436.00;11.00;70;US
AMC REBEL SST;16.00;8;304.00;150.00;3433.00;12.00;70;US
FORD TORINO;17.00;8;302.00;140.00;3449.00;10.50;70;US
FORD GALAXIE 500;15.00;8;429.00;198.00;4341.00;10.00;70;US
CHEVROLET IMPALA;14.00;8;454.00;220.00;4354.00;9.00;70;US
PLYMOUTH FURY III;14.00;8;440.00;215.00;4312.00;8.50;70;US
PONTIAC CATALINA;14.00;8;455.00;225.00;4425.00;10.00;70;US
AMC AMBASSADOR DPL;15.00;8;390.00;190.00;3850.00;8.50;70;US
CITROEN DS-21 PALLAS;0.00;4;133.00;115.00;3090.00;17.50;70;Europe
CHEVROLET CHEVELLE CONCOURS (SW);0.00;8;350.00;165.00;4142.00;11.50;70;US
FORD TORINO (SW);0.00;8;351.00;153.00;4034.00;11.00;70;US
PLYMOUTH SATELLITE (SW);0.00;8;383.00;175.00;4166.00;10.50;70;US
AMC REBEL SST (SW);0.00;8;360.00;175.00;3850.00;11.00;70;US
DODGE CHALLENGER SE;15.00;8;383.00;170.00;3563.00;10.00;70;US
PLYMOUTH 'CUDA 340;14.00;8;340.00;160.00;3609.00;8.00;70;US
FORD MUSTANG BOSS 302;0.00;8;302.00;140.00;3353.00;8.00;70;US
CHEVROLET MONTE CARLO;15.00;8;400.00;150.00;3761.00;9.50;70;US
BUICK ESTATE WAGON (SW);14.00;8;455.00;225.00;3086.00;10.00;70;US
TOYOTA COROLLA MARK II;24.00;4;113.00;95.00;2372.00;15.00;70;Japan
PLYMOUTH DUSTER;22.00;6;198.00;95.00;2833.00;15.50;70;US
AMC HORNET;18.00;6;199.00;97.00;2774.00;15.50;70;US
FORD MAVERICK;21.00;6;200.00;85.00;2587.00;16.00;70;US
DATSUN PL510;27.00;4;97.00;88.00;2130.00;14.50;70;Japan
VOLKSWAGEN 1131 DELUXE SEDAN;26.00;4;97.00;46.00;1835.00;20.50;70;Europe
PEUGEOT 504;25.00;4;110.00;87.00;2672.00;17.50;70;Europe
AUDI 100 LS;24.00;4;107.00;90.00;2430.00;14.50;70;Europe
SAAB 99E;25.00;4;104.00;95.00;2375.00;17.50;70;Europe
BMW 2002;26.00;4;121.00;113.00;2234.00;12.50;70;Europe
AMC GREMLIN;21.00;6;199.00;90.00;2648.00;15.00;70;US
FORD F250;10.00;8;360.00;215.00;4615.00;14.00;70;US
CHEVY C20;10.00;8;307.00;200.00;4376.00;15.00;70;US
DODGE D200;11.00;8;318.00;210.00;4382.00;13.50;70;US
HI 1200D;9.00;8;304.00;193.00;4732.00;18.50;70;US
DATSUN PL510;27.00;4;97.00;88.00;2130.00;14.50;71;Japan
CHEVROLET VEGA 2300;28.00;4;140.00;90.00;2264.00;15.50;71;US
TOYOTA COROLLA;25.00;4;113.00;95.00;2228.00;14.00;71;Japan
FORD PINTO;25.00;4;98.00;0.00;2046.00;19.00;71;US
VOLKSWAGEN SUPER BEETLE 117;0.00;4;97.00;48.00;1978.00;20.00;71;Europe
AMC GREMLIN;19.00;6;232.00;100.00;2634.00;13.00;71;US
PLYMOUTH SATELLITE CUSTOM;16.00;6;225.00;105.00;3439.00;15.50;71;US
CHEVROLET CHEVELLE MALIBU;17.00;6;250.00;100.00;3329.00;15.50;71;US
FORD TORINO 500;19.00;6;250.00;88.00;3302.00;15.50;71;US
AMC MATADOR;18.00;6;232.00;100.00;3288.00;15.50;71;US
CHEVROLET IMPALA;14.00;8;350.00;165.00;4209.00;12.00;71;US
PONTIAC CATALINA BROUGHAM;14.00;8;400.00;175.00;4464.00;11.50;71;US
FORD GALAXIE 500;14.00;8;351.00;153.00;4154.00;13.50;71;US
PLYMOUTH FURY III;14.00;8;318.00;150.00;4096.00;13.00;71;US
DODGE MONACO (SW);12.00;8;383.00;180.00;4955.00;11.50;71;US
FORD COUNTRY SQUIRE (SW);13.00;8;400.00;170.00;4746.00;12.00;71;US
PONTIAC SAFARI (SW);13.00;8;400.00;175.00;5140.00;12.00;71;US
AMC HORNET SPORTABOUT (SW);18.00;6;258.00;110.00;2962.00;13.50;71;US
